Author,Art,Sale date,Price,Size,Style,Estimate,Provenance,Sign,Collection,Technique and performance material,Painted,Image
Amedeo Modigliani,Les deux fillesREPEAT SALE,02.04.2015,"11,431,338",100 x 65.1 cm,Impressionist/Modern Evening Sale,"GBP 6,000,000 - GBP 8,000,000","Leopold Zborowski, Paris.
Jonas Netter, Paris, by whom acquired from the above before 1926, and thence by descent; sale Christie's, London, 4 February 2009, Lot 10.
Acquired at the above sale by the present owner.",-,-,oil on canvas,1918,https://www.christies.com/img/LotImages/2015/CKS/2015_CKS_10378_0015_000(amedeo_modigliani_les_deux_filles).jpg
Pierre-Auguste Renoir,Jeunes filles jouant au volant,05.06.2014,"11,365,000",54.6 x 65.2 cm,Impressionist and Modern Art Evening Sale including Property from the Estate of Edgar M. Bronfman,"USD 10,000,000 - USD 15,000,000","M. Lacotte, Limoges.
Galerie Durand-Ruel et Cie., Paris (acquired from the above, 6 December 1905).
Durand-Ruel Galleries, New York (acquired from the above, 1931).
The Minneapolis Institute of Arts (acquired from the above, 16 December 1931).
M. Knoedler & Co., Inc., New York (acquired from the above, 1958).
Acquired from the above by the late owner, 29 April 1958.
","
signed 'Renoir.' (lower right) 
",-,oil on canvas ,1887,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02844_0010_000(pierre-auguste_renoir_jeunes_filles_jouant_au_volant).jpg
Jackson Pollock,"Number 5, 1951 Elegant Lady"";1951""",05.13.2014,"11,365,000",147.3 x 140.9 cm,Post-War and Contemporary Evening Sale,"USD 12,000,000 - USD 18,000,000","Collection of the Artist
Martha Jackson, New York, 1954
Mr. and Mrs. David K. Anderson, New York, by descent
Knoedler & Co., New York
Galerie Alfred Schmela, Düsseldorf
Acquired from the above by the present owner, 1980
","
signed and dated 'Jackson Pollock--51' (lower left); signed again and dated again, 'Jackson Pollock 51' (lower center)
","Collection of the Artist
",oil on canvas ,1951,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0030_000(jackson_pollock_number_5_1951_elegant_lady).jpg
Andy Warhol,Five Deaths on Orange,11.12.2014,"11,365,000",76.6 x 76.6 cm,Post-War & Contemporary Art Evening Sale,"USD 8,000,000 - USD 12,000,000","Stable Gallery, New York
Ileana and Michael Sonnabend, Paris
Gagosian Gallery, New York
Acquired from the above by the present owner",-,-,acrylic and silkscreen ink on linen,1963,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0026_000(andy_warhol_five_deaths_on_orange).jpg
Robert Ryman,Link,11.12.2014,"11,365,000",193 x 182.9 cm,Post-War & Contemporary Art Evening Sale,"USD 8,000,000 - USD 12,000,000","Pace Wildenstein, New York
Private collection, USA
Anthony Meier Fine Art, San Francisco
Acquired from the above by the present owner","
signed, titled and dated 'RYMAN 02 ""LINK""' (on the overlap)
","
Private collection, USA
",Link,2002,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0034_000(robert_ryman_link).jpg
Egon Schiele,Selbstbildnis mit Modell,05.08.2013,"11,323,750",70.5 x 241.2 cm,Impressionist & Modern Evening Sale,"USD 5,000,000 - USD 7,000,000","Benedikt Fred Dolbin, Vienna and New York.
Ellen Dolbin, New York (by descent from the above, circa 1971).
Serge Sabarsky Gallery, New York (acquired from the above, by 1972).
Acquired from the above by the previous owner, 20 June 1992. 
",-,-,oil on canvas ,1913,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02782_0037_000(egon_schiele_selbstbildnis_mit_modell).jpg
René Magritte,Les jours gigantesques,06.20.2012,"11,314,197",72.4 x 54 cm,Impressionist/Modern Art Evening Sale,"GBP 800,000 - GBP 1,500,000","Galerie LEpoque, Brussels.
E.L.T. Mesens, Brussels, by whom acquired from the above on 22 February 1929.
W.A., by 1931.
Gustave van Geluwe, Brussels, and thence b descent.
Acquired by the family of the present owners circa 1975. 
","
signed 'Magritte' (lower right); inscribed '""LES JOURS GIGANTESQUES"" (I) 20' (on the reverse)
",-,oil on canvas ,1928,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_05465_0056_000(rene_magritte_les_jours_gigantesques).jpg
Kees van Dongen,La gitane,02.02.2010,"11,310,178",100.2 x 81.2 cm,Impressionist/Modern Evening Sale,"GBP 5,500,000 - GBP 7,500,000","M. Midy, by whom acquired directly from the artist, and thence by descent.
Galerie Cazeau-de la Béraudière, Paris.
Acquired from the above by the present owner in 1998. 
","
signed 'van Dongen.' (lower right) 
",-,oil on canvas ,1910,https://www.christies.com/img/LotImages/2010/CKS/2010_CKS_07831_0034_000().jpg
Peter Doig,Jetty,06.25.2013,"11,302,082",200 x 250cm,Post-War and Contemporary Art Evening Auction,"GBP 4,000,000 - GBP 6,000,000","Gavin Brown's enterprise, New York.
Acquired from the above by the present owner in 1994.
","
signed twice, titled, inscribed and dated 'PURPLE 'JETTY' PETER DOIG JULY. AUG. SEPT. 94 Peter Doig' (on the reverse)
",-,oil on canvas ,1994,https://www.christies.com/img/LotImages/2013/CKS/2013_CKS_01134_0009_000(peter_doig_jetty).jpg
Alberto Giacometti,La Jambe,11.07.2012,"11,282,500",218 cm,Impressionist and Modern Art Evening Sale,"USD 10,000,000 - USD 15,000,000","Pierre Matisse Gallery, New York.
Ben Heller, New York (acquired from the above, circa 1963).
Robert Elkon Gallery, New York (acquired from the above, 1968).
Galerie Beyeler, Basel (acquired from the above, 1968).
Acquired from the above by the present owner, 1976.
","
signed and numbered 'Alberto Giacometti 3/6' (on the top of the base); inscribed with foundry mark 'Susse Fondeur. Paris' (on the side of the base)
",-,bronze with brown and green patina ,1947,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02594_0053_000(alberto_giacometti_la_jambe).jpg
Alberto Giacometti,Annette au manteau,11.06.2007,"11,241,000",115.5 x 80.5 cm,Impressionist and Modern Art Evening Sale,"USD 5,000,000 - USD 7,000,000","Pierre Matisse Gallery, New York (acquired from the artist).
Freida Kittay Goldsmith, Palm Beach (acquired from the above, 3 May 1966).
By descent from the above to the present owner.
","
signed and dated 'Alberto Giacometti 1964' (lower right) 
",-,oil on canvas ,1964,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01900_0074_000().jpg
,Düsenjäger,11.13.2007,"11,241,000",130 x 200 cm,Post War and Contemporary Art Evening Sale,"USD 10,000,000 - USD 15,000,000","Private collection, Rhineland
Galerie Schmela, Dusseldorf
Private collection, Berlin
Galerie Hans Strelow, Düsseldorf 
Galerie Rudolf Zwirner, Cologne
Barbara Gladstone Gallery, New York
Acquired from the above by the present owner 
","
signed, titled and dated 'DÜSENJÄGER  (WV-Nr. 13a) Richter 1963' (on a paper label affixed to the reverse)
","Private collection, Rhineland
","signed, titled and dated 'DÜSENJÄGER  (WV-Nr. 13a) Richter 1963' (on a paper label affixed to the reverse)",1963,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01903_0016_000().jpg
Claude Monet,"Nymphéas, temps gris",05.02.2006,"11,216,000",100 x 73 cm,Impressionist and Modern Art Evening Sale,"USD 10,000,000 - USD 15,000,000","Galerie Bernheim-Jeune, Paris (acquired from the artist, 1923).
Henri Canonne, Paris (acquired from the above, January 1924).
Anon, sale, Paris, Galliéra, 8 December 1961, lot 68.
Fritz and Peter Nathan, Zurich.
Acquavella Galleries, Inc., New York.
Aristotle Onassis, Paris (acquired from the above, 1968).
By descent from the above to the present owner.
","
signed and dated 'Claude Monet' (lower right) 
",-,oil on canvas ,1907,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01655_0011_000().jpg
Vincent van Gogh,Le pont de TrinquetailleREPEAT SALE,11.03.2004,"11,207,500",65 x 81 cm,Impressionist and Modern Art (Evening Sale)                 ,"USD 12,000,000 - USD 18,000,000","Mrs. Johanna van Gogh-Bonger, Amsterdam.
Paul Cassirer, Berlin (1906).
Galerie Ambroise Vollard, Paris.
Mr. and Mrs. Josef Redlich, Vienna.
Galerie Hodebert, Paris.
Galerie Etienne Bignou, Paris.
Mrs. R.A. Workman, London.
The Lefevre Gallery (Alex. Reid & Lefevre, Ltd.), London.
M. Knoedler & Co., Inc., New York.
Mrs. William A. Clark, New York (1934).
M. Knoedler & Co., Inc., New York.
Mr. and Mrs. André Meyer, New York (1962); sale, Sotheby's, New York, 22 October 1980, lot 27.
Akram Ojjeh, Paris (acquired at the above sale); sale, Christie's, New York, 8 November 1999, lot 112.
Acquired at the above sale by the present owner. 
",-,-,oil on canvas ,1888,https://www.christies.com/img/LotImages/2004/NYR/2004_NYR_01429_0041_000().jpg
Canaletto,"The Campo Santi Giovanni e Paolo, Venice, with the west end of the church and the Scuola di San Marco",12.13.2000,"11,155,155",47 x 77.8 cm,IMPORTANT OLD MASTER PICTURES,"GBP 3,000,000 - GBP 4,000,000","Commissioned or sold through Joseph Smith (c. 1674-1770; British Consul 1744-1760), Palazzo Valmarana, later Mangilli-Valmarana, on the Grand Canal near the Church of Santi Apostoli, Venice.
Thomas Brand (c. 1717-1770), The Hoo, Kimpton, Hertfordshire, by whom acquired as one of a set of four (see below), thence to his son
Thomas Brand (1749-1794), husband of Gertrude, Baroness Dacre in her own right (d. 1819), and by descent at The Hoo through the Barons Dacre, subsequently created Viscounts Hampden, until
Thomas, 25th Baron Dacre and 3rd Viscount Hampden (1869-1958), by whom removed from The Hoo in 1938 and sold in 1953 to the
Matthiesen Gallery, London.
Private collection, Geneva, from which acquired by the present owner c. 1973.
",-,"
Private collection, Geneva, from which acquired by the present owner c. 1973.
",oil on canvas ,-,https://www.christies.com/img/LotImages/2000/CKS/2000_CKS_06405_0104_000().jpg
Andy Warhol,Mao,06.28.2011,"11,146,363",127 x 106.7cm,Post-War and Contemporary Art Evening Auction,"GBP 6,000,000 - GBP 8,000,000","Leo Castelli Gallery, New York.
Knoedler and Company, New York.
Todd Brassner, New York.
Irving Galleries Fine Arts, Milwaukee.
Dr. and Mrs. Donald M. Levy, Milwaukee.
Armand P. Bartos, New York.
Acquired from the above by the present owner. 
","
signed and dated 'Andy Warhol 73' (on the overlap) 
",-,acrylic and silkscreen ink on canvas ,1973,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_07977_0010_000(andy_warhol_mao).jpg
Pablo Picasso,Femme nue couchée au collierREPEAT SALE,05.06.2014,"11,141,000",40.6 x 40.6 cm,Impressionist and Modern Art Evening Sale including Property from the Estate of Edgar M. Bronfman,"USD 8,000,000 - USD 12,000,000","Jacques Sarlie, New York; sale, Sotheby's, London, 12 October 1960, lot 20.
Perls Galleries, New York (acquired at the above sale).
Evelyn Sharp, New York (acquired from the above, 27 September 1965); sale, Sotheby's, New York, 12 November 1997, lot 18.
Acquired at the above sale by the family of the present owner.
","
signed, dated and inscribed 'Picasso Boisgeloup 18 juin XXXII' (upper left)
",-,oil on canvas ,1932,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02844_0015_000(pablo_picasso_femme_nue_couchee_au_collier).jpg
Franz Kline,De Medici,11.14.2012,"11,058,500",209.6 x 290.8 cm,Post-War & Contemporary Art Evening Sale,"USD 5,000,000 - USD 7,000,000","Sidney Janis Gallery, New York
Signa Gallery, East Hampton, 1960
Galerie Beyeler, Basel
Robert Elkon Gallery, New York
Acquired from the above by the present owner, 1963 
","
signed and dated 'FRANZ KLINE -56' (on the reverse) 
",-,oil and charcoal on canvas ,1956,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02597_0026_000(franz_kline_de_medici).jpg
Kees van Dongen,L�Ouled Naïl,02.04.2008,"11,048,217",100.5 x 82.2 cm,Impressionist and Modern Art Evening Sale,"GBP 2,000,000 - GBP 3,000,000","Private collection, Monaco, by 1967.
Marcus Wickham-Boynton, East Yorkshire.
The Adams Gallery, London.
Acquired from the above by Maurice and Vivienne Wohl in January 1970. 
","
signed 'van Dongen' (lower right); signed with the artist's initials, titled and inscribed 'VD Ouled Naïl (Tunsie [sic])' (on the stretcher)
","Private collection, Monaco, by 1967.
",oil on canvas ,1910,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07562_0005_000().jpg
Pablo Picasso,Homme assis au fusil,02.04.2008,"11,048,217",146 x 114 cm,Impressionist and Modern Art Evening Sale,"GBP 5,000,000 - GBP 7,000,000","The artist's estate.
Galerie Louise Leiris, Paris (no. 16409).
Private collection.
Heiner Bastian Fine Art, Berlin.
Acquired from the above by the present owner. 
","
signed 'Picasso' (lower right); dated and numbered '17.9.69. II' (on the reverse)
","
Private collection.
",oil on canvas ,1969,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07562_0041_000().jpg
Bernardo Bellotto,"The Grand Canal at the Church of San Stae, Venice",04.19.2007,"11,016,000",74.3 x 128.8 cm,Important Old Master Paintings Including Property From the Collection of Jacques Goudstikker,"USD 8,000,000 - USD 12,000,000","Edmund Higginson (née Barneby, 1802-71), Saltmarshe, Herefordshire from whom purchased by
Col. the Hon. Edward Gordon Douglas Pennant, later 1st Baron Penrhyn of Llandegai (1800-86), Penrhyn Castle, Gwynedd, North Wales, by whom purchased from the above in 1860, and by inheritance.
",-,-,oil on canvas ,-,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01822_0113_000().jpg
Joan Miró,Paysage sur les bords du fleuve amour,11.06.2001,"11,006,000",130 x 195.6 cm,THE COLLECTION OF RENE GAFFE   THE ESTATE OF MME RENE GAFFE,"USD 4,000,000 - USD 6,000,000",-,"
signed and dated 'Miró 1927' (lower left); signed and dated again and titled 'Joan Miró Paysage 1927' (on the reverse)
",-,oil and encaustic on canvas ,1927,https://www.christies.com/img/LotImages/2001/NYR/2001_NYR_09854_0018_000().jpg
Pablo Picasso,Les femmes d′Alger,11.10.1997,"11,002,500",114 x 146.4cm,The Collection of Victor and Sally Ganz,"USD 10,000,000 - USD 12,000,000","Galerie Louise Leiris, Paris
The entire series was acquired from the above by the late owners on June 6, 1956 for $212,500. 
","
signed 'Picasso' upper right--dated '14.2.55' on the reverse 
",-,oil on canvas ,1955,-
Berthe Morisot,Après le déjeunerREPEAT SALE,02.06.2013,"10,987,798",81 x 100 cm,Impressionist/Modern Evening Sale,"GBP 1,500,000 - GBP 2,500,000","Alphonse Portier, Paris, by 1882.
Henri Vever, Paris.
J. Montgomery Sears, Boston.
Mrs Montgomery Sears, Boston, by descent from the above by 1905.
Mrs J.D.C. Bradley, Southborough, MA., by descent from the above by 1940.
Mrs Cameron Bradley, by descent from the above by 1947.
M. Knoedler & Co., Inc., New York.
Mr & Mrs Albert D. Lasker, New York, by whom acquired from the above in November 1950.
Anonymous sale, Christie's, New York, 14 May 1997, lot 16.
Acquired at the above sale by the family of the present owner. 
","
signed 'Berthe Morisot' (lower right) 
",-,oil on canvas ,1881,https://www.christies.com/img/LotImages/2013/CKS/2013_CKS_01102_0011_000(berthe_morisot_apres_le_dejeuner).jpg
,"The Blue Rigi: Lake of Lucerne, Sunrise",06.05.2006,"10,978,740",29.7 x 45 cm,"British Art on Paper Including 'The Blue Rigi' by J.M.W. Turner, R.A.",,"Elhanan Bicknell, purchased from the artist through Thomas Griffith, 1842.
Elhanan Bicknell (+); Christie's, London, 29 April 1863, lot 125 (296 gns to Holmes for Agnew's).
with Agnew's, London, sold 19 May 1863 to J.E. Taylor.
J.E. Taylor (+); Christie's, London, 5 July 1912, lot 46 (2700 gns to Agnew's).
with Agnew's, London.
Walter H. Jones.
His widow by 1933.
Mrs Walter H. Jones (+); Christie's, London, 3 July 1942, lot 42 (1500 gns to Agnew's).
with Agnew's, London where purchased by the family of the present owner. 
",-,-,"watercolour, bodycolour, pen and brown ink, heightened with white chalk and with scratching out, watermark 'J WHATMAN/TURKEY MILL'",-,https://www.christies.com/img/LotImages/2006/CKS/2006_CKS_07235_0053_000().jpg
Pablo Picasso,Femme au chien,06.20.2012,"10,962,651",162 x 130 cm,Impressionist/Modern Art Evening Sale,"GBP 6,000,000 - GBP 9,000,000","Galerie Louise Leiris, Paris (no. 010544).
Nathan Cummings, Chicago, by whom acquired from the above before 1968.
Acquired from the above by the family of the present owner in 1974. 
","
signed 'Picasso' (upper right); dated '21.11.62.' (centre left); dated '21.11.62 II' (on the reverse)
",-,oil on canvas ,1962,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_05465_0008_000(pablo_picasso_femme_au_chien).jpg
Jean-Michel Basquiat,Blue HeadsREPEAT SALE,11.12.2013,"10,805,000",182.8 x 297.1 cm,Post-War and Contemporary Evening Sale,"USD 8,000,000 - USD 12,000,000","Galerie Bruno Bischofberger, Zurich
Mary Boone Gallery, New York
Private collection, Geneva, 1983
Anon. sale; Sotheby's, New York, 18 November 1999, lot 95
The Mugrabi Collection, New York
Anon. sale; Phillips de Pury, New York, 13 May 2004, lot 26
Acquired at the above sale by the present owner",-,"
Private collection, Geneva, 1983
",acrylic and oilstick on canvas,1983,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0033_000(jean-michel_basquiat_blue_heads).jpg
Pieter Brueghel II,The Battle between Carnival and LentREPEAT SALE,12.06.2011,"10,747,701",119.4 x 171.2 cm,Old Master & British Paintings (Evening Sale),"GBP 3,500,000 - GBP 4,500,000","A.J.H. Repelaer van Spijkenisse collection, where first recorded in 1884.
Anonymous sale; Christie's, Amsterdam, 6 May 1993, lot 98, as 'Attributed to Pieter Brueghel II'.
with Johnny van Haeften, London.
Private collection from 1996; Christie's, London, 7 December 2006, lot 31 (sold £3,256,000 to the present owner).
",-,"A.J.H. Repelaer van Spijkenisse collection, where first recorded in 1884.
",oil on canvas ,-,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_08007_0017_000(pieter_brueghel_ii_the_battle_between_carnival_and_lent).jpg
Johannes,Saint Praxedis,07.08.2014,"10,699,021",101.6 x 82 cm,Old Master & British Paintings Evening Sale,"GBP 6,000,000 - GBP 8,000,000","Erna and Jacob Reder, New York, 1943.
with Spencer Samuels & Co., New York, 1969.
The Barbara Piasecka Johnson Collection, by whom acquired from the above in 1987.
","
signed and dated ‘Meer 1655’ (lower left)
","
The Barbara Piasecka Johnson Collection, by whom acquired from the above in 1987.
",oil on canvas,-,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01537_0039_000(johannes_vermeer_saint_praxedis).jpg
Wassily Kandinsky,"Murnau - Ansicht mit Burg, Kirche und Eisenbahn",02.06.2013,"10,635,446",48 x 69 cm,Impressionist/Modern Evening Sale,"GBP 5,000,000 - GBP 7,000,000","Arthur Jerome Eddy, Chicago; his sale, Williams, Barker & Severn, Chicago, 24-25 June 1937.
Grosvenor Gallery, London.
Acquired by the present owner circa 1990. 
","
signed and dated 'KANDINSKY 1909' (lower left) 
",-,oil on cardboard laid down on board ,1909,https://www.christies.com/img/LotImages/2013/CKS/2013_CKS_01102_0026_000(wassily_kandinsky_murnau_-_ansicht_mit_burg_kirche_und_eisenbahn).jpg
Franz Marc,Kinderbild,06.24.2014,"10,626,608",70.2 x 50 cm,Impressionist/Modern Evening Sale,"GBP 5,000,000 - GBP 7,000,000","Adolf & Adeline Erbslöh, Munich, by whom acquired from The Neue Künstlervereinigung München in March 1911.
Alfred & Thekla Hess, Erfurt (sold under duress due to persecution by the Nazi authorities).
Galerie Nierendorf, Berlin, by 1935.
Galerie Thannhauser, Berlin, by 1935.
Günther Wagner, Pelikan-Werke, Hannover, by whom acquired in the Franz Marc exhibition in the Kestner-Gesellschaft Hannover in 1936.
Niedersachsische Landesgalerie Hannover, on loan from the above from 1950.
Sprengel Museum Hannover, on loan from the Pelikan-Kunstsammlung between 1979 and 1983.
Sprengel Museum Hannover, on loan from the Norddeutsche Landesbank, from 1983.
Restituted to the heir of Alfred & Thekla Hess in 2009.
Acquired from the above by Jan Ahlers, Herford, Germany, in 2009, and thence by descent to the present owner.",-,-,oil on canvas,1910,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01532_0030_000(franz_marc_kinderbild).jpg
Henri Matisse,Nu au bord de la mer,02.23.2009,"10,570,731",61.2 x 50 cm,Collection Yves Saint Laurent et Pierre Bergé,"EUR 4,000,000 - EUR 6,000,000","Hermann Rubin, Paris (acquis auprès de l'artiste, avril 1935).
Galerie Tarica, Paris (acquis auprès des descendants de celui-ci).
Acquis auprès de celle-ci par Yves Saint Laurent et Pierre Bergé, novembre 1988. 
","
signé 'Henri Matisse' (en bas à droite); signé, daté et inscrit 'Ce tableau a été peint à Cavallière [sic] (Var) en 1908 [sic]. Henri Matisse Nice, 25 avril 1935' (au revers)
",-,huile sur toile ,-,https://www.christies.com/img/LotImages/2009/PAR/2009_PAR_01209_0056_000().jpg
Thomas Gainsborough,"Portrait of Mrs. William Villebois in masquerade dress, with a blue gown and a lace-edged satin skirt, holding a diaphanous wrap, beside a pilaster",07.05.2011,"10,516,474",226 x 147 cm,Old Master & British Paintings - Evening Sale,"GBP 4,000,000 - GBP 6,000,000","Commissioned by the sitter's grandfather, Sir Benjamin Truman (1700-1780), of Popes, Hertingfordbury, Hertfordshire, and Brick Lane, Spitalfields, and by descent to his great-great-grandson
Henry Truman Villebois (1807-1886), from whom acquired in 1886 by
Alfred de Rothschild (1842-1918), by whom hung at Halton House, Buckinghamshire, in the North Drawing Room, and by inheritance to Almina Wombwell, Countess of Carnarvon (d. 1969), wife of Herbert, 5th Earl of Carnarvon.
The Hon. Charles Hanbury, from whom acquired by
Agnew's, London, from whom purchased on 13 November 1919 for £49,500 by
Weetman Dickinson Pearson, 1st Viscount Cowdray (1856-1927), by whom hung at no. 17 Carlton House Terrace, London, and by descent at Cowdray Park. 
",-,-,oil on canvas ,-,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_07980_0010_000(thomas_gainsborough_ra_portrait_of_mrs_william_villebois_full-length_i).jpg
Sandro Botticelli,The Rockefeller Madonna: Madonna and Child with Young Saint John the BaptistREPEAT SALE,01.30.2013,"10,442,500",46.3 x 36.8 cm,Renaissance,"USD 5,000,000 - USD 7,000,000","Charles Graham Somerwell, Baberton House, Juniper Green; Christie's, London, 23 April 1887, lot 149 (480 gns. to Noseda).
John Postle Heseltine, London.
with Lord Duveen, New York, 1925.
John D. Rockefeller, Jr. (1874-1960), by 1931, and by descent to
Winthrop Paul Rockefeller (1912-1973), Morrilton, Arkansas; Sotheby's, New York, 8 January 1981, lot 101.
Gerald P. Gutterman, Bedford, New York.
Anonymous sale; Sotheby's, New York, 15 January 1987, lot 11.
Ishizuka Collection, Tokyo, 1987.
Anonymous sale; Christie's, New York, 21 May 1992, lot 38, where acquired by the present owner.
Private collection, New York.
",-,"
Ishizuka Collection, Tokyo, 1987.
","tempera, oil and gold on panel ",-,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02673_0148_000(alessandro_filipepi_called_sandro_botticelli_the_rockefeller_madonna_m).jpg
Paul Gauguin,Le vallon,06.21.2011,"10,389,629",41.5 x 67 cm,Impressionist/Modern Evening Sale,"GBP 5,500,000 - GBP 8,500,000","Galerie Thannhauser, Munich, Berlin & Lucerne (no. 1165).
Dr Emile Hahnloser, Zurich, by 1928.
Mme Jäggli-Hahnloser, Winterthur, by descent from the above.
Acquired from the above by the late Ernst Beyeler, Basel.
","
signed 'P Gauguin' (lower left) 
",-,oil on canvas ,1892,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_07974_0028_000(paul_gauguin_le_vallon).jpg
Alexander Calder,Snow Flurry,05.08.2012,"10,386,500",152.4 x 213.4 cm,Post-War and Contemporary Art Evening Sale,"USD 3,500,000 - USD 4,500,000","Acquired directly from the artist by the present owner 
","
signed with initials 'CA' (on the largest white element) 
",-,hanging mobile--painted sheet metal and wire ,1950,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02557_0011_000(alexander_calder_snow_flurry).jpg
Claude Monet,Au Parc MonceauREPEAT SALE,06.23.2009,"10,360,044",65.3 x 54.2 cm,Impressionist/Modern Evening Sale,"GBP 3,500,000 - GBP 4,500,000","Theulier, Paris, by whom probably acquired from the artist on 30 June 1878.
Gustave Goupil, Paris; sale, Hôtel Drouot, Paris, 30 March 1898, lot 25.
Galerie Durand-Ruel et Cie., Paris, by whom acquired at the above sale.
Galerie Paul Cassirer, Berlin, by 1903.
Otto Haas, Berlin.
Ludwig and Margret Kainer, Berlin, from whom confiscated by the National Socialists; sale, Leo Spik, Berlin, 31 May 1935, lot 97.
Private collection, Europe, by whom acquired after 1945; sale pursuant to a settlement agreement between the descendants of the above and the heirs of Ludwig and Margret Kainer, Sotheby's, London, 26 June 2001, lot 6.
Acquired at the above sale by the present owner. 
","
signed and dated 'Claude Monet 78' (lower right) 
","
Private collection, Europe, by whom acquired after 1945; sale pursuant to a settlement agreement between the descendants of the above and the heirs of Ludwig and Margret Kainer, Sotheby's, London, 26 June 2001, lot 6.
",oil on canvas ,1878,-
Andrew Wyeth,Ericksons,05.24.2007,"10,344,000",106.7 x 96.5 cm,"Important American Paintings, Drawings and Sculpture","USD 4,000,000 - USD 6,000,000","Private collection, Miami, Florida.
[With]Frank Fowler, Lookout Mountain, Tennessee.
Private collection, New York.
[With]Peter Davidson, Inc., New York.
Private collection, New York.
[With]Richard L. Feigen & Co., New York.
Seibu Corporation of America.
Seibu Department Store, Japan.
Acquired by the present owner from the above, circa 1980s.
","
signed 'Andrew Wyeth' (lower left) 
","Private collection, Miami, Florida.
",tempera on panel ,1973,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01838_0029_000().jpg
Vincent van Gogh,Intérieur d′un Restaurant,04.30.1996,"10,342,500",51.1 x 65.4 cm,"Impressionist & Modern Paintings, Drawings&Sculpture Part I ",,"Galerie Ambroise Vollard, Paris
Mrs. Esther S. Sutro, London (1896)
Alfred Sutro, London (1929)
Mrs. van Gruisen
Alex. Reid & Lefevre, London
Marcel Gieuré
Carroll Carstairs Gallery, New York
Acquired by the family of the present owner in 1935 
",-,-,oil on canvas ,1887,-
Joan Miró,L′Air,11.03.2010,"10,330,500",54.9 x 46 cm,Impressionist and Modern Evening Sale ,"USD 12,000,000 - USD 18,000,000","Stratis Eleftheriades (E. Tériade), Paris (by 1961).
Galerie Berggruen et Cie., Paris.
Acquavella Galleries, Inc., New York.
Acquired from the above by the present owner.
","
signed 'Miró' (center left) 
",-,oil on canvas ,1938,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02352_0025_000(joan_miro_lair).jpg
Paul Cézanne,Pommes et gâteaux,11.01.2005,"10,320,000",-,Impressionist and Modern Art  Evening Sale                  ,"USD 3,500,000 - USD 4,500,000","Victor Chocquet, Paris; sale, Galerie Georges Petit, 1-4 July 1899, lot 30.
Galerie Durand-Ruel et Cie., Paris (acquired at the above sale)
By descent from the above to the present owners. 
","
signed 'P. Cézanne' (lower left) 
",-,oil on canvas ,1873,https://www.christies.com/img/LotImages/2005/NYR/2005_NYR_01570_0004_000().jpg
Peter Doig,Reflection,11.10.2009,"10,162,500",274.4 x 200.4 cm,Post-War & Contemporary Evening Sale,"USD 4,000,000 - USD 6,000,000","Gavin Brown's Enterprise, New York
Acquired directly from the above by the present owner, 1996 
","
signed and dated 'PETER DOIG 1996' (on the reverse) 
",-,oil on canvas ,1996,-
Georges Braque,La Treille,05.04.2010,"10,162,500",130 x 130 cm,Property from the Collection of Mrs. Sidney F. Brody,"USD 3,000,000 - USD 5,000,000","Aimé Maeght, Paris.
Paul Rosenberg & Co., New York.
Acquired from the above by Mr. and Mrs. Sidney F. Brody, 7 November 1955.
","
signed 'G Braque' (lower left) 
",-,oil and sand on canvas ,1953,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02410_0002_000(georges_braque_la_treille).jpg
